repo,url,decision,reason,diskUsage,isArchived,notion_matched
aubuchon-electric-inc-preview-gkam,https://github.com/nsheetzdesign/aubuchon-electric-inc-preview-gkam,DELETE,preview-style name (generated site),21,False,
aubuchon-electric-inc-preview-iao4,https://github.com/nsheetzdesign/aubuchon-electric-inc-preview-iao4,DELETE,preview-style name (generated site),2,False,
auto-repair-plus-preview-0vod,https://github.com/nsheetzdesign/auto-repair-plus-preview-0vod,DELETE,preview-style name (generated site),3,False,
aztec-roofing-repairs-preview-2843,https://github.com/nsheetzdesign/aztec-roofing-repairs-preview-2843,DELETE,preview-style name (generated site),24,False,
b-swift-painting-decorating-preview-ep81,https://github.com/nsheetzdesign/b-swift-painting-decorating-preview-ep81,DELETE,preview-style name (generated site),0,False,
barry-s-roofing-llc-preview-y2gc,https://github.com/nsheetzdesign/barry-s-roofing-llc-preview-y2gc,DELETE,preview-style name (generated site),0,False,
barrys-roofing-llc-preview-y67l,https://github.com/nsheetzdesign/barrys-roofing-llc-preview-y67l,DELETE,preview-style name (generated site),21,False,
beny-s-cleaning-services-preview-zpfv,https://github.com/nsheetzdesign/beny-s-cleaning-services-preview-zpfv,DELETE,preview-style name (generated site),24,False,
beverly-fence-company-preview-t4tg,https://github.com/nsheetzdesign/beverly-fence-company-preview-t4tg,DELETE,preview-style name (generated site),24,False,
bill-s-auto-center-preview-tl45,https://github.com/nsheetzdesign/bill-s-auto-center-preview-tl45,DELETE,preview-style name (generated site),0,False,
blitz-painting-handyman-service-preview-8knf,https://github.com/nsheetzdesign/blitz-painting-handyman-service-preview-8knf,DELETE,preview-style name (generated site),25,False,
brake-service-preview-ugf4,https://github.com/nsheetzdesign/brake-service-preview-ugf4,DELETE,preview-style name (generated site),0,False,
brake-service-preview-utfw,https://github.com/nsheetzdesign/brake-service-preview-utfw,DELETE,preview-style name (generated site),21,False,
brightness-cleaning-services-preview-e50l,https://github.com/nsheetzdesign/brightness-cleaning-services-preview-e50l,DELETE,preview-style name (generated site),4,False,
broad-shoulders-handyman-preview-w24p,https://github.com/nsheetzdesign/broad-shoulders-handyman-preview-w24p,DELETE,preview-style name (generated site),24,False,
business-name,https://github.com/nsheetzdesign/business-name,DELETE,REVIEW→DELETE (operator included),10,False,
business-preview-07pj,https://github.com/nsheetzdesign/business-preview-07pj,DELETE,preview-style name (generated site),24,False,
business-preview-0dcx,https://github.com/nsheetzdesign/business-preview-0dcx,DELETE,preview-style name (generated site),24,False,
business-preview-1ul1,https://github.com/nsheetzdesign/business-preview-1ul1,DELETE,preview-style name (generated site),25,False,
business-preview-2ehg,https://github.com/nsheetzdesign/business-preview-2ehg,DELETE,preview-style name (generated site),24,False,
business-preview-2jm3,https://github.com/nsheetzdesign/business-preview-2jm3,DELETE,preview-style name (generated site),24,False,
business-preview-2y4r,https://github.com/nsheetzdesign/business-preview-2y4r,DELETE,preview-style name (generated site),24,False,
business-preview-356s,https://github.com/nsheetzdesign/business-preview-356s,DELETE,preview-style name (generated site),24,False,
business-preview-3kcu,https://github.com/nsheetzdesign/business-preview-3kcu,DELETE,preview-style name (generated site),24,False,
business-preview-46ay,https://github.com/nsheetzdesign/business-preview-46ay,DELETE,preview-style name (generated site),2,False,
business-preview-49en,https://github.com/nsheetzdesign/business-preview-49en,DELETE,preview-style name (generated site),24,False,
business-preview-4mp7,https://github.com/nsheetzdesign/business-preview-4mp7,DELETE,preview-style name (generated site),24,False,
business-preview-50bb,https://github.com/nsheetzdesign/business-preview-50bb,DELETE,preview-style name (generated site),24,False,
business-preview-537s,https://github.com/nsheetzdesign/business-preview-537s,DELETE,preview-style name (generated site),24,False,
business-preview-5bm4,https://github.com/nsheetzdesign/business-preview-5bm4,DELETE,preview-style name (generated site),25,False,
business-preview-5hlm,https://github.com/nsheetzdesign/business-preview-5hlm,DELETE,preview-style name (generated site),25,False,
business-preview-5pvm,https://github.com/nsheetzdesign/business-preview-5pvm,DELETE,preview-style name (generated site),25,False,
business-preview-5zah,https://github.com/nsheetzdesign/business-preview-5zah,DELETE,preview-style name (generated site),23,False,
business-preview-6azz,https://github.com/nsheetzdesign/business-preview-6azz,DELETE,preview-style name (generated site),24,False,
business-preview-6eqd,https://github.com/nsheetzdesign/business-preview-6eqd,DELETE,preview-style name (generated site),24,False,
business-preview-73vu,https://github.com/nsheetzdesign/business-preview-73vu,DELETE,preview-style name (generated site),24,False,
business-preview-79iq,https://github.com/nsheetzdesign/business-preview-79iq,DELETE,preview-style name (generated site),3,False,
business-preview-8g2q,https://github.com/nsheetzdesign/business-preview-8g2q,DELETE,preview-style name (generated site),25,False,
business-preview-9dmg,https://github.com/nsheetzdesign/business-preview-9dmg,DELETE,preview-style name (generated site),25,False,
business-preview-a8ot,https://github.com/nsheetzdesign/business-preview-a8ot,DELETE,preview-style name (generated site),24,False,
business-preview-au35,https://github.com/nsheetzdesign/business-preview-au35,DELETE,preview-style name (generated site),24,False,
business-preview-bceq,https://github.com/nsheetzdesign/business-preview-bceq,DELETE,preview-style name (generated site),24,False,
business-preview-brxo,https://github.com/nsheetzdesign/business-preview-brxo,DELETE,preview-style name (generated site),24,False,
business-preview-ezem,https://github.com/nsheetzdesign/business-preview-ezem,DELETE,preview-style name (generated site),24,False,
business-preview-f5km,https://github.com/nsheetzdesign/business-preview-f5km,DELETE,preview-style name (generated site),24,False,
business-preview-gtga,https://github.com/nsheetzdesign/business-preview-gtga,DELETE,preview-style name (generated site),24,False,
business-preview-ift9,https://github.com/nsheetzdesign/business-preview-ift9,DELETE,preview-style name (generated site),24,False,
business-preview-j903,https://github.com/nsheetzdesign/business-preview-j903,DELETE,preview-style name (generated site),24,False,
business-preview-jfol,https://github.com/nsheetzdesign/business-preview-jfol,DELETE,preview-style name (generated site),25,False,
business-preview-k2w5,https://github.com/nsheetzdesign/business-preview-k2w5,DELETE,preview-style name (generated site),24,False,
business-preview-k6jo,https://github.com/nsheetzdesign/business-preview-k6jo,DELETE,preview-style name (generated site),24,False,
business-preview-kexl,https://github.com/nsheetzdesign/business-preview-kexl,DELETE,preview-style name (generated site),24,False,
business-preview-kfbd,https://github.com/nsheetzdesign/business-preview-kfbd,DELETE,preview-style name (generated site),25,False,
business-preview-kxk4,https://github.com/nsheetzdesign/business-preview-kxk4,DELETE,preview-style name (generated site),24,False,
business-preview-kz3g,https://github.com/nsheetzdesign/business-preview-kz3g,DELETE,preview-style name (generated site),3,False,
business-preview-l4vu,https://github.com/nsheetzdesign/business-preview-l4vu,DELETE,preview-style name (generated site),24,False,
business-preview-m2az,https://github.com/nsheetzdesign/business-preview-m2az,DELETE,preview-style name (generated site),2,False,
business-preview-oq4u,https://github.com/nsheetzdesign/business-preview-oq4u,DELETE,preview-style name (generated site),24,False,
business-preview-pqk9,https://github.com/nsheetzdesign/business-preview-pqk9,DELETE,preview-style name (generated site),25,False,
business-preview-q2ba,https://github.com/nsheetzdesign/business-preview-q2ba,DELETE,preview-style name (generated site),25,False,
business-preview-q3et,https://github.com/nsheetzdesign/business-preview-q3et,DELETE,preview-style name (generated site),24,False,
business-preview-q5j6,https://github.com/nsheetzdesign/business-preview-q5j6,DELETE,preview-style name (generated site),3,False,
business-preview-q824,https://github.com/nsheetzdesign/business-preview-q824,DELETE,preview-style name (generated site),2,False,
business-preview-qeu8,https://github.com/nsheetzdesign/business-preview-qeu8,DELETE,preview-style name (generated site),24,False,
business-preview-qh3l,https://github.com/nsheetzdesign/business-preview-qh3l,DELETE,preview-style name (generated site),24,False,
business-preview-qjrw,https://github.com/nsheetzdesign/business-preview-qjrw,DELETE,preview-style name (generated site),24,False,
business-preview-re30,https://github.com/nsheetzdesign/business-preview-re30,DELETE,preview-style name (generated site),3,False,
business-preview-rfo9,https://github.com/nsheetzdesign/business-preview-rfo9,DELETE,preview-style name (generated site),24,False,
business-preview-rhk6,https://github.com/nsheetzdesign/business-preview-rhk6,DELETE,preview-style name (generated site),24,False,
business-preview-rqjo,https://github.com/nsheetzdesign/business-preview-rqjo,DELETE,preview-style name (generated site),3,False,
business-preview-t19b,https://github.com/nsheetzdesign/business-preview-t19b,DELETE,preview-style name (generated site),25,False,
business-preview-teoh,https://github.com/nsheetzdesign/business-preview-teoh,DELETE,preview-style name (generated site),24,False,
business-preview-tqou,https://github.com/nsheetzdesign/business-preview-tqou,DELETE,preview-style name (generated site),2,False,
business-preview-u0n2,https://github.com/nsheetzdesign/business-preview-u0n2,DELETE,preview-style name (generated site),3,False,
business-preview-w0wj,https://github.com/nsheetzdesign/business-preview-w0wj,DELETE,preview-style name (generated site),24,False,
business-preview-w6fh,https://github.com/nsheetzdesign/business-preview-w6fh,DELETE,preview-style name (generated site),24,False,
business-preview-y72t,https://github.com/nsheetzdesign/business-preview-y72t,DELETE,preview-style name (generated site),24,False,
business-preview-z4ta,https://github.com/nsheetzdesign/business-preview-z4ta,DELETE,preview-style name (generated site),24,False,
business-preview-zyu9,https://github.com/nsheetzdesign/business-preview-zyu9,DELETE,preview-style name (generated site),24,False,
